id,spot_name,canonical_name,place_type,experience_type,region,tourism_area,associated_destination,nearest_city,district,latitude,longitude,distance_from_destination_km,category,subcategory,classification,hidden_gem_score,experience_score,verification_confidence,popularity_level,crowd_level,best_season,best_months,best_time_of_day,accessibility,accessibility_status,walking_required,trek_required,boat_required,estimated_visit_duration,entry_fee,opening_hours,parking_available,food_available,washroom_available,drinking_water_available,mobile_connectivity,family_friendly,children_friendly,elderly_friendly,couple_friendly,solo_friendly,safety_level,safety_note,recommendation_tags,short_description,hidden_gem_reason,why_visit,local_tip,verification_notes,source_quality,source_1_name,source_1_url,source_2_name,source_2_url,source_3_name,source_3_url,last_verified,img1,img2
15,Devrai Art Village,Devrai Art Village,EXPERIENCE,Cultural Experience,Panchgani,Panchgani outskirts,Panchgani,Panchgani,Satara,NULL,NULL,NULL,Culture,Art,VERIFIED_HIDDEN_GEM,82,88,92,Low,Low,October–March,October–March,Late morning / Afternoon,Vehicle Required,Generally visitable; verify local conditions,No,No,No,1 hour,Free (workshops may be paid; verify with venue),10:30 AM–5:30 PM (per official site),Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Low,Standard outdoor-site precautions; no unusual hazards reported at the gallery grounds.,Culture|Art|Tribal Craft|Workshop|Family,A tribal art gallery near Panchgani showcasing crafts by Adivasi artisans from Gadchiroli and Chhattisgarh.,"Rarely features in mainstream Panchgani 'top sights' lists, which favour viewpoints; offers a distinct tribal-art/cultural angle instead.",A specific cultural experience rather than generic sightseeing: visitors can see artisans at work and participate in craft workshops.,Official site currently lists gallery hours 10:30 AM–5:30 PM; workshops require advance planning.,"Reviewed against Stage-1 evidence and current web evidence; no major contradiction identified, but live access/fees should be rechecked before each trip. STAGE 3: Coordinates could not be confidently pinned to the gallery site itself (only town-level references found); left NULL rather than substituting Panchgani's coordinates, per geographic-accuracy rule.",4,Layla AI Itinerary,https://layla.ai/itinerary/panchgank,Devrai Art Village – official,https://devraiartvillage.com/visit-us/,,,2026-09-10,public/images/Devrai_Art_Village.jpg,
58,Manghar Honey Village (Madhache Gaav),Manghar Honey Village (Madhache Gaav),EXPERIENCE,Agritourism,Mahabaleshwar,Manghar village,Mahabaleshwar,Mahabaleshwar,Satara,NULL,NULL,7.5,Culture,Farm,VERIFIED_HIDDEN_GEM,80,78,78,Low,Low,October–March,October–March,Late morning / Afternoon,Vehicle Required,Generally visitable; verify local conditions,No,No,No,1 hour,NULL,NULL,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Low,Minor risk of bee stings around active apiaries; follow guide instructions if visiting hives.,Agritourism|Honey|Village Experience|Local Food,"India's first 'Village of Honey', about 7.5 km from Mahabaleshwar market, producing organic, jambhul and gela honey varieties.",Billed as India's first 'village of honey' but rarely appears in standard Mahabaleshwar itineraries dominated by viewpoints and strawberry farms.,"Potentially valuable community/agritourism experience, but current organized visitor access should be verified.","Verify local access, weather and seasonal conditions before departure.","Reviewed against Stage-1 evidence and current web evidence; no major contradiction identified, but live access/fees should be rechecked before each trip. STAGE 3: Distance of 7.5 km from Mahabaleshwar market is sourced from Incredible India (Govt. of India Tourism); exact village coordinates not independently confirmed, left NULL.",5,Incredible India (Govt. of India Tourism),https://www.incredibleindia.gov.in/en/maharashtra/mahabaleshwar/relish-the-local-flavours-of-mahabaleshwar,,,,,2026-09-10,,
8,Bhilar Book Village,Bhilar Book Village,VILLAGE,Literary Experience,Mahabaleshwar,Bhilar village,Panchgani,Mahabaleshwar,Satara,17.913,73.762,8,Culture,Village,OFFBEAT,78,80,92,Low,Low,October–March,October–March,Late morning / Afternoon,Vehicle Required,Generally visitable; verify local conditions,No,No,No,1 hour,Free,9:00 AM–6:00 PM (village-wide reading spots),Unknown,Nearby,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Low,Low-risk village walk; ordinary road-crossing and traffic caution applies.,Culture|Literary Experience|Village Experience|Slow Travel|Family,"India's first 'village of books', with over 35,000 free books displayed across homes, schools and temples in Bhilar.","India's first 'book village' is a genuine curiosity, but visitor numbers remain modest compared with nearby Mahabaleshwar/Panchgani viewpoints.",Distinctive village-scale reading experience with distributed book locations and strong cultural identity.,Treat it as a cultural walk/reading experience rather than a single monument.,"Reviewed against Stage-1 evidence and current web evidence; no major contradiction identified, but live access/fees should be rechecked before each trip. STAGE 3: Coordinates (17.913N, 73.762E) and 9AM-6PM reading-spot hours confirmed via Wikipedia; distance of 8 km from Panchgani confirmed via YourStory.",4,Indian Express – Maharashtra expands book village initiative,https://indianexpress.com/article/cities/pune/maharashtra-expands-book-village-initiative-after-bhilars-success-9715750/,,,,,2026-09-10,,
110,Madhu Sagar Bee Center,Madhu Sagar Bee Center,EXPERIENCE,Agritourism,Mahabaleshwar,Near Wilson Point,Mahabaleshwar,Mahabaleshwar,Satara,NULL,NULL,NULL,Food,Farm,OFFBEAT,78,62,68,Low,Low,October–March,October–March,Late morning / Afternoon,Easy,Needs Verification,No,No,No,1 hour,NULL,NULL,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Low,Minor risk of bee stings around active hives; follow on-site staff guidance.,Agritourism|Honey|Local Food,A honey-focused visitor centre near Wilson Point showcasing bee-keeping and honey products from the Mahabaleshwar-Panchgani belt.,"Confirmed to exist by the Satara Zilla Parishad government site, but has minimal independent visitor coverage or reviews, keeping it off standard itineraries.",Potentially distinctive honey/beekeeping experience; current visitor program requires verification.,"Verify local access, weather and seasonal conditions before departure.",Current visitor access/details were not sufficiently independently verified in this pass. STAGE 3: Existence and general location (near Wilson Point) confirmed via Zilla Parishad Satara (official government source); current visitor program/hours/fees could not be independently verified this pass.,5,Zilla Parishad Satara (Government),https://www.zpsatara.gov.in/?p=8126,,,,,2026-09-10,,
112,Krishna Ghats Heritage Walk (Wai),Krishna Ghats Heritage Walk (Wai),HERITAGE_SITE,Heritage,Wai,Wai ghats (Krishna riverfront),Wai,Wai,Satara,NULL,NULL,NULL,Culture,Historical Site,OFFBEAT,76,75,78,Low,Low,Winter,November–February,Morning,Easy,Generally visitable; verify local conditions,No,No,No,1 hour,Free,Dawn–dusk (typical for open ghats; not independently confirmed),Unknown,Nearby,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Low,"Steps and ghat platforms can be slippery near the water; take care close to the riverbank, especially after rain.",Heritage|Culture|Riverside|Photography|Slow Travel,"A continuous riverside walk along Wai's seven historic ghats (Gangapuri, Madhi Aali, Ganpati Aali, Dharmapuri, Brahmanshahi, Ramdoh Aali, Bhimkund Aali) each with its own temple history.",Wai's historic ghats and temples are locally known but overshadowed by Mahabaleshwar/Panchgani in most tourist itineraries.,Potentially offbeat as a themed experience because it packages Wai's 100-plus temples into a single walkable heritage trail rarely marketed as such outside specialist heritage articles.,"Verify local access, weather and seasonal conditions before departure.","Reviewed against Stage-1 evidence and current web evidence; no major contradiction identified, but live access/fees should be rechecked before each trip. STAGE 3: Precise ghat coordinates not independently pinned this pass; left NULL rather than using Wai town coordinates.",3,Outlook Traveller,https://www.outlooktraveller.com/explore-maharashtra/all-about-wai-maharashtras-hidden-riverside-gem,,,,,2026-09-10,public/images/Krishna_Ghats_Wai.jpg,
59,Bhilarwadi Strawberry Farms,Bhilarwadi Strawberry Farms,EXPERIENCE,Agritourism,Mahabaleshwar,Bhilar/Bhilarwadi belt,Mahabaleshwar,Panchgani,Satara,NULL,NULL,NULL,Food,Farm,OFFBEAT,72,70,78,Low,Low,Winter,November–February,Morning,Easy,Generally visitable; verify local conditions,No,No,No,1 hour,NULL,Seasonal (strawberry season only),Unknown,Yes (farm-side stalls typical of the belt),Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Low,Low-risk farm walk; uneven ground on working farmland.,Agritourism|Local Food|Family|Village Experience,A cluster of misty strawberry farms in the hamlet of Bhilarwadi near Panchgani offering pick-your-own experiences.,"Strawberry-picking farms in this belt are known locally but many operate informally without dedicated tourist listings, keeping them below mainstream visibility.",Potentially offbeat because it names a specific hamlet-level farming community rather than the generic 'strawberry farm visit' already common in mainstream itineraries.,"Verify local access, weather and seasonal conditions before departure.","Reviewed against Stage-1 evidence and current web evidence; no major contradiction identified, but live access/fees should be rechecked before each trip. STAGE 3: Individual farm coordinates and formal visitor access not independently verified; season restricted to roughly Dec-Apr strawberry harvest.",2,The Better India,https://thebetterindia.com/farming/mahabaleshwar-strawberry-farmers-35000-tonnes-success-story-11125671,,,,,2026-09-10,,
76,Tapola to Koyna Valley Trek,Tapola to Koyna Valley Trek,TRAIL,Trekking,Mahabaleshwar,Tapola / Koyna valley,Tapola,Tapola,Satara,NULL,NULL,25,Adventure,Trekking,OFFBEAT,72,82,78,Low,Low,Winter,November–February,Morning,Moderate,Generally visitable; verify local conditions,Yes,No,No,1–2 hours,NULL,NULL,Unknown,Nearby (Tapola village),Unknown,Unknown,Limited,Yes,Yes,Conditional,Yes,Yes,Moderate,"Forest-trail trekking; carry adequate water, wear proper footwear, and avoid the route after dark or in heavy monsoon.",Adventure|Trekking|Nature|Photography,A scenic trek route from Tapola through forests and villages with views of the Koyna dam and valley.,"A trekking route through the Koyna valley rather than a single named attraction, so it stays off standard sightseeing itineraries.",Potentially offbeat because it is explicitly flagged as an 'offbeat nature trail' distinct from Mahabaleshwar's standard sightseeing circuit.,"Verify local access, weather and seasonal conditions before departure.","Reviewed against Stage-1 evidence and current web evidence; no major contradiction identified, but live access/fees should be rechecked before each trip. STAGE 3: Route distance approximated from Tapola-Mahabaleshwar road distance (25 km, per 30Stades); trail-specific coordinates not verified.",3,Agoda Travel Guides,https://www.agoda.com/travel-guides/india/mahabaleshwar/discover-7-hidden-gems-near-mahabaleshwar-this-monsoon,,,,,2026-09-10,,
113,Krishnamai Utsav (Wai Ghat Festival),Krishnamai Utsav (Wai Ghat Festival),EVENT,Festival,Wai,Wai ghats,Wai,Wai,Satara,NULL,NULL,NULL,Culture,Other,OFFBEAT,72,68,78,Low,Low,Winter,November–February,Morning,Easy,Generally visitable; verify local conditions,No,No,No,1 hour,Free,NULL,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Low,Large festival crowds near riverbank ghats; standard crowd and water-edge caution applies.,Festival|Culture|Spiritual Experience|Local Experience,"An annual 4-8 day festival held across Wai's seven river ghats commemorating a historic victory prayer, per local heritage documentation.",A local riverside festival with limited coverage outside the region; not to be recommended outside its actual occurrence window.,Potentially offbeat because it is a seasonal cultural festival known mainly to locals and heritage researchers rather than general tourists.,"Verify local access, weather and seasonal conditions before departure.","Reviewed against Stage-1 evidence and current web evidence; no major contradiction identified, but live access/fees should be rechecked before each trip. STAGE 3: Treated strictly as an EVENT; exact annual dates not independently confirmed this pass — recommend only during its verified occurrence window.",2,Scribd (local heritage report),https://www.scribd.com/document/416048141/Report,,,,,2026-09-10,,
103,Udaysagar Lake (Rajmachi),Udaysagar Lake (Rajmachi),NATURE_SITE,Nature Escape,Lonavala,Rajmachi plateau,Lonavala,Lonavala/Karjat,Pune,NULL,NULL,NULL,Nature,Lake,OFFBEAT,70,65,78,Low,Low,Winter,October–February,Morning / Sunset,Vehicle Required,Generally visitable; verify local conditions,No,No,No,1 hour,NULL,NULL,Unknown,Nearby (Rajmachi village homestays),Unknown,Unknown,Limited,Yes,Yes,Yes,Yes,Yes,Low,"Uneven plateau terrain around the lake; take care near the water's edge, especially in monsoon.",Nature|Lake|Trekking|Photography,"A small lake built in 1712 near Udhewadi village on the Rajmachi plateau, beside a Mahadev temple.","A small lake on the Rajmachi plateau overshadowed by the plateau's two forts, which draw the bulk of trekker attention.","Potentially offbeat because it is only reachable after trekking to the Rajmachi base village, and is rarely mentioned outside detailed trek itineraries.","Verify local access, weather and seasonal conditions before departure.","Reviewed against Stage-1 evidence and current web evidence; no major contradiction identified, but live access/fees should be rechecked before each trip. STAGE 3: Coordinates not independently confirmed; Rajmachi plateau reached via trek from Lonavala/Khandala side or Kondane/Udhewadi side.",2,Treks and Trails,https://www.treksandtrails.org/tours/rajmachi-and-kondhane-caves-trek,,,,,2026-09-10,,
37,Bahiri Cave,Bahiri Cave,HERITAGE_SITE,Heritage,Maval,Maval region,Maval,Lonavala,Pune,NULL,NULL,NULL,Heritage,Cave,OFFBEAT,68,58,78,Low,Low,Winter,November–February,Morning,Moderate,Generally visitable; verify local conditions,Yes,No,No,1–2 hours,NULL,NULL,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Conditional,Conditional,Yes,Conditional,High,Cave interiors can be damp and uneven underfoot; carry a torch and avoid climbing on loose rock.,Heritage|Cave|Photography|Trekking,"A lesser-documented cave site in the Maval/Khandala hills, noted mainly in hotel-landmark listings.",A lesser-documented rock-cut site compared with the well-known Karla/Bhaja/Kondane cave circuit nearby.,"Potentially offbeat because it has very limited independent coverage online, suggesting low visitor awareness; needs Stage 2 verification of existence details.","Verify local access, weather and seasonal conditions before departure.","Reviewed against Stage-1 evidence and current web evidence; no major contradiction identified, but live access/fees should be rechecked before each trip. STAGE 3: Could not independently confirm exact location/coordinates or current accessibility this pass; treat as Needs Verification.",2,Hotels.com Landmark Guide,https://uk.hotels.com/es/de10679436/hotel-cerca-de-nagphani-duke-s-nose-shirwal-india,,,,,2026-09-10,public/images/Bahiri_Cave.jpg,
